Iteration,CPUTime,PhysTime,Travels,Value,AvValue,MinValue,MaxValue,Delta,Criteria,PrevAvRefValue,Progress,CriteriaType,CriteriaVarType,CriteriaPercentage
123,451,0,1.13460818,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
124,454,0,1.14383264,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
125,457,0,1.15305709,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
126,461,0,1.16228155,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
127,464,0,1.17150601,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
128,468,0,1.18073046,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
129,471,0,1.18995492,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
130,475,0,1.19917938,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
131,478,0,1.20840383,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
132,482,0,1.21762829,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
133,486,0,1.22685275,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
134,490,0,1.2360772,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
135,493,0,1.24530166,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
136,497,0,1.25452612,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
137,500,0,1.26375057,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
138,503,0,1.27297503,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
139,507,0,1.28219949,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
140,510,0,1.29142394,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
141,514,0,1.3006484,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
142,517,0,1.30987286,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
143,520,0,1.31909731,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
144,524,0,1.32832177,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
145,527,0,1.33754623,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
146,531,0,1.34677068,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
147,534,0,1.35599514,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
148,538,0,1.3652196,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
149,541,0,1.37444405,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
150,545,0,1.38366851,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
151,549,0,1.39289297,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
152,552,0,1.40211742,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
153,556,0,1.41134188,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
154,560,0,1.42056634,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
155,563,0,1.4297908,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
156,567,0,1.43901525,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
157,570,0,1.44823971,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
